Date,Close/Last,Volume,Open,High,Low
05/06/2025,$4103.9808,13,$4229.1021,$4254.1264,$4103.9808
05/05/2025,$4154.0293,20,$4504.3691,$4504.3691,$4154.0293
05/02/2025,$4454.3206,19,$4479.3449,$4753.6109,$4304.175
05/01/2025,$4529.3934,32,$4604.4662,$4667.0269,$4429.2963
04/30/2025,$4329.1992,47,$4629.4905,$4754.6119,$4129.005
04/29/2025,$4754.6119,43,$5129.976,$5355.1944,$4604.4662
04/28/2025,$5155.0002,68,$5430.2672,$5577.9105,$4893.7468
04/25/2025,$5230.0731,44,$5530.3643,$5530.3643,$5106.7034
04/24/2025,$5255.0973,113,$4679.5391,$5630.4614,$4604.4662
04/23/2025,$4654.5148,104,$5029.8789,$5180.0245,$4654.5148
04/22/2025,$5054.9031,364,$5305.1459,$6256.0682,$5026.1252
04/21/2025,$5280.1216,427,$5054.9031,$5630.4614,$4654.5148
04/17/2025,$5755.5828,15543,$5405.243,$5755.5828,$4654.5148
04/16/2025,$3653.5439,1652,$3703.5924,$3703.5924,$3353.2526
04/15/2025,$3503.3982,9,$3453.3497,$3553.4468,$3303.204
04/14/2025,$3403.3011,16,$3703.5924,$3703.5924,$3278.1798
04/11/2025,$3278.1798,31,$3403.3011,$3403.5514,$3002.9128
04/10/2025,$3378.2769,47,$3878.7623,$3878.7623,$3353.2526
04/09/2025,$3703.5924,40,$3628.5196,$3953.8351,$3343.2429
04/08/2025,$3403.3011,27,$3878.7623,$4204.0779,$3403.3011
04/07/2025,$3703.5924,11,$3778.6652,$3976.357,$3628.5196
04/04/2025,$3903.7866,13,$4204.0779,$4204.0779,$3703.7175
04/03/2025,$4229.1021,20,$4204.0779,$4429.2963,$4204.0779
04/02/2025,$4204.0779,18,$4154.0293,$4354.2235,$4060.4385
04/01/2025,$4254.1264,22,$4028.908,$4304.175,$3930.5626
03/31/2025,$4028.908,17,$4479.3449,$4480.0956,$3878.7623
03/28/2025,$4329.1992,49,$4629.4905,$4699.5585,$4001.8817
03/27/2025,$4604.4662,30,$5305.1459,$5305.1459,$4584.6971
03/26/2025,$5079.9274,15,$5430.2672,$5652.733,$5029.8789
03/25/2025,$5455.2915,16,$6005.8255,$6005.8255,$5405.243
03/24/2025,$5755.5828,16,$6005.8255,$6011.0806,$5680.51
03/21/2025,$5955.777,18,$6130.9469,$6130.9469,$5655.4857
03/20/2025,$6331.1411,12,$6080.8983,$6331.1411,$5980.8012
03/19/2025,$5955.777,14,$5830.6556,$5988.0583,$5730.5585
03/18/2025,$5905.7284,5,$6030.8498,$6111.428,$5880.7042
03/17/2025,$6155.9712,26,$6105.9226,$6256.0682,$5880.7042
03/14/2025,$5980.8012,22,$6030.8498,$6281.0925,$5630.4614
03/13/2025,$6030.8498,39,$6080.8983,$6381.1896,$5555.3886
03/12/2025,$6206.0197,15,$5855.6799,$6231.044,$5668.4983
03/11/2025,$5805.6313,19,$5728.0561,$6005.8255,$5380.2187
03/10/2025,$5655.4857,13,$5830.6556,$5871.9457,$5355.1944
03/07/2025,$5830.6556,20,$6130.9469,$6406.2139,$5505.3401
03/06/2025,$6155.9712,10,$5930.7527,$6431.2382,$5601.183
03/05/2025,$6206.0197,36,$5755.5828,$6480.536,$5680.51
03/04/2025,$5730.5585,33,$5580.4129,$5980.8012,$5180.0245
03/03/2025,$5630.4614,33,$6005.8255,$6006.0758,$5555.6388
02/28/2025,$5780.6071,62,$6080.8983,$6080.8983,$5655.4857
02/27/2025,$6005.8255,27,$6581.3838,$6581.3838,$5905.9787
02/26/2025,$6381.1896,66,$5955.777,$6929.2212,$5955.777
02/25/2025,$5980.8012,79,$6105.9226,$6268.5804,$5505.3401
02/24/2025,$6206.0197,96,$7507.2819,$7507.2819,$6055.8741
02/21/2025,$7407.1848,82,$8333.0829,$8508.2528,$7407.1848
02/20/2025,$8408.1557,61,$8283.2846,$8558.3014,$8058.0661
02/19/2025,$8045.3038,85,$8933.6655,$8933.6655,$8032.7916
02/18/2025,$8933.6655,190,$7807.5732,$9008.7383,$7783.8001
02/14/2025,$7832.5974,1061,$8833.5684,$9133.8596,$7582.3547
02/13/2025,$7882.646,81,$8032.7916,$8258.0101,$7438.9656
02/12/2025,$7857.6217,51,$7482.2576,$7957.9691,$7407.1848
02/11/2025,$7707.4761,96,$8182.9373,$8458.2043,$7457.2334
02/10/2025,$7832.5974,144,$8308.0586,$8308.0586,$7455.7319
02/07/2025,$8433.18,150,$8508.2528,$8733.221,$7807.5732
02/06/2025,$8458.2043,118,$7507.2819,$9133.8596,$7507.2819
02/05/2025,$7782.5489,119,$8157.913,$8228.7317,$7119.4057
02/04/2025,$7957.7188,206,$8758.4955,$9284.0053,$7507.2819
02/03/2025,$8533.2771,234,$10009.7092,$10157.1022,$8433.18
01/31/2025,$10184.8791,83,$11085.7529,$11210.8743,$10009.7092
01/30/2025,$11235.8986,131,$10660.3403,$11886.5297,$10360.2993
01/29/2025,$10885.5588,106,$10009.7092,$10960.6316,$9759.7167
01/28/2025,$10635.316,126,$10084.782,$10760.4374,$9309.0296
01/27/2025,$10234.9277,186,$11285.9471,$11285.9471,$10034.7335
01/24/2025,$11786.4326,1253,$10034.7335,$16265.7774,$9809.515
01/23/2025,$10335.0247,146,$10685.3646,$10885.5588,$9759.4665
01/22/2025,$11123.2893,98,$11185.85,$11335.9957,$10610.2918
01/21/2025,$11335.9957,196,$12562.185,$12612.2336,$11073.2408
01/17/2025,$13413.0103,307,$14388.957,$14489.0541,$12708.8273
01/16/2025,$14489.0541,264,$13788.3744,$16015.5347,$13265.3671
01/15/2025,$13788.3744,198,$12387.0151,$14114.9412,$10785.4617
01/14/2025,$14063.2278,140,$15689.1994,$15953.0632,$13549.7631
01/13/2025,$18541.7811,231,$19040.9829,$21301.6539,$17871.4244
01/10/2025,$28611.3945,835,$22578.1842,$34230.9804,$22342.8462
